,Category,Series Name,Series Code
425,Urban Development,Population density (people per sq. km of land area),EN.POP.DNST
1207,Urban Development,Population in largest city,EN.URB.LCTY
1519,Urban Development,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS
1545,Urban Development,Population in urban agglomerations of more than 1 million,EN.URB.MCTY
