,Category,Series Name,Series Code
202,Science & Technology,"Patent applications, residents",IP.PAT.RESD
269,Science & Technology,Technicians in R&D (per million people),SP.POP.TECH.RD.P6
382,Science & Technology,"Patent applications, nonresidents",IP.PAT.NRES
418,Science & Technology,Scientific and technical journal articles,IP.JRN.ARTC.SC
640,Science & Technology,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6
1487,Science & Technology,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
