,Unnamed: 0_x,Category,Series Name,Series Code_x,Unnamed: 0_y,Series Code_y
542,1136,Environment,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,1,EG.CFT.ACCS.RU.ZS
546,1146,Environment,Arable land (% of land area),AG.LND.ARBL.ZS,53,AG.LND.ARBL.ZS
560,1168,Environment,"Mortality rate attributed to unintentional poisoning (per 100,000 population)",SH.STA.POIS.P5,368,SH.STA.POIS.P5
563,1171,Environment,Agricultural land (% of land area),AG.LND.AGRI.ZS,31,AG.LND.AGRI.ZS
571,1195,Environment,Adjusted savings: particulate emission damage (current US$),NY.ADJ.DPEM.CD,26,NY.ADJ.DPEM.CD
574,1200,Environment,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,72,EN.ATM.CO2E.PC
577,1206,Environment,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,70,EN.ATM.CO2E.PP.GD
600,1261,Environment,"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)",SH.STA.POIS.P5.FE,369,SH.STA.POIS.P5.FE
608,1275,Environment,Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,10,NY.ADJ.DCO2.GN.ZS
620,1304,Environment,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,22,NY.ADJ.DFOR.GN.ZS
635,1326,Environment,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,24,NY.ADJ.NNAT.GN.ZS
648,1355,Environment,Forest area (% of land area),AG.LND.FRST.ZS,174,AG.LND.FRST.ZS
650,1362,Environment,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,380,NY.GDP.NGAS.RT.ZS
657,1377,Environment,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,73,EN.ATM.CO2E.GF.ZS
676,1427,Environment,Adjusted savings: particulate emission damage (% of GNI),NY.ADJ.DPEM.GN.ZS,25,NY.ADJ.DPEM.GN.ZS
677,1428,Environment,Surface area (sq. km),AG.SRF.TOTL.K2,605,AG.SRF.TOTL.K2
681,1437,Environment,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,176,NY.GDP.FRST.RT.ZS
682,1439,Environment,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,552,ER.H2O.INTR.PC
684,1447,Environment,"People using at least basic sanitation services, rural (% of rural population)",SH.STA.BASS.RU.ZS,434,SH.STA.BASS.RU.ZS
685,1449,Environment,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,18,NY.ADJ.ICTR.GN.ZS
688,1453,Environment,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,78,EN.ATM.CO2E.SF.KT
694,1467,Environment,Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,79,NY.GDP.COAL.RT.ZS
695,1468,Environment,"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,9,NY.ADJ.SVNG.GN.ZS
705,1491,Environment,Land area (sq. km),AG.LND.TOTL.K2,310,AG.LND.TOTL.K2
709,1498,Environment,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,622,NY.GDP.TOTL.RT.ZS
718,1515,Environment,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,76,EN.ATM.CO2E.LF.KT
728,1537,Environment,Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,23,NY.ADJ.DFOR.CD
730,1541,Environment,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,14,NY.ADJ.AEDU.GN.ZS
742,1567,Environment,Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,33,EN.ATM.METH.AG.KT.CE
745,1573,Environment,CO2 emissions (kg per 2017 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,69,EN.ATM.CO2E.PP.GD.KD
746,1575,Environment,CO2 emissions from liquid fuel consumption (% of total),EN.ATM.CO2E.LF.ZS,75,EN.ATM.CO2E.LF.ZS
