,Unnamed: 0_x,Category,Series Name,Series Code_x,Unnamed: 0_y,Series Code_y
12,32,Climate Change,Urban population (% of total population),SP.URB.TOTL.IN.ZS,646,SP.URB.TOTL.IN.ZS
84,164,Climate Change,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,377,SH.DYN.MORT
300,617,Climate Change,Agricultural land (sq. km),AG.LND.AGRI.K2,32,AG.LND.AGRI.K2
455,945,Climate Change,Urban population growth (annual %),SP.URB.GROW,647,SP.URB.GROW
479,998,Climate Change,Urban population,SP.URB.TOTL,645,SP.URB.TOTL
557,1164,Climate Change,Cereal yield (kg per hectare),AG.YLD.CREL.KG,65,AG.YLD.CREL.KG
629,1319,Climate Change,Population growth (annual %),SP.POP.GROW,501,SP.POP.GROW
802,1672,Climate Change,"Population, total",SP.POP.TOTL,507,SP.POP.TOTL
